Armazéns Credenciados e Habilitados
CDA;Armazenador;Endereço;Municí­pio;UF;Tipo;Email;Capacidade (t);Latitude;Longitude;Estoque Inicial;Capacidade de Recepção
45.0287.0132-1;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. CE 01 - KM 5 - DISTRITO INDUSTRIAL S/N NÃO INFORMADO - 61.900-000;Maracanaú;CE;Convencional;CE.UA-MARACANAU@CONAB.GOV.BR;6300;-3.84305;-38.60161;0;18
45.0287.0141-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD. CE 01 - KM 5 - DISTRITO INDUSTRIAL S/N NÃO INFORMADO - 61.900-000;Maracanaú;CE;Convencional;CE.UA-MARACANAU@CONAB.GOV.BR;8800;-3.84305;-38.60161;0;15
45.0287.0093-7;COMPANHIA NACIONAL DE ABASTECIMENTO;BR 116, KM 04 -  S/N NÃO INFORMADO - 62.900-000;Russas;CE;Convencional;CE.UA-RUSSAS@CONAB.GOV.BR;3500;-4.927;-37.97711;0;15
45.0287.0061-9;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA SAMUEL SAMBRAIA, 114 - CENTRO S/N NÃO INFORMADO - 63.600-000;Senador Pompeu;CE;Convencional;CE.UA-SENADORPOMPEU@CONAB.GOV.BR;3200;-5.59316;-39.37777;0;9
45.0287.0062-7;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GALDINO ARAUJO, 149 - BAIRRO ALTO CRISTO S/N NÃO INFORMADO - 62.030-430;Sobral;CE;Convencional;CE.UA-SOBRAL@CONAB.GOV.BR;4800;-3.683626;-40.35902;0;15
46.0287.0001-3;COMPANHIA NACIONAL DE ABASTECIMENTO;SIA SUL TRECHO 05 LOTES 300/400 S/N SETOR-INDUSTRIA - 70.310-500;Brasília;DF;Convencional;UA.BRASILIA@CONAB.GOV.BR;8350;-15.79561;-47.95275;0;60
46.0287.0004-8;COMPANHIA NACIONAL DE ABASTECIMENTO;SIA SUL TRECHO 05 LOTE 100 S/N SETOR DE INDUSTRIAS E ABASTECIMENTO - 71.205-050;Brasília;DF;Bateria de Silos;UA.BRASILIA@CONAB.GOV.BR;25800;-15.7968;-47.95188;0;120
46.0287.0005-6;COMPANHIA NACIONAL DE ABASTECIMENTO;SIA SUL TRECHO 05 LOTES 300/400 S/N SETOR-INDUSTRIA - 70.310-500;Brasília;DF;Convencional;UA.BRASILIA@CONAB.GOV.BR;7800;-15.79681;-47.95315;0;120
46.0287.0007-2;COMPANHIA NACIONAL DE ABASTECIMENTO;SIA SUL TRECHO 05 LOTES 300/400 S/N SETOR-INDUSTRIA - 70.310-500;Brasília;DF;Convencional;UA.BRASILIA@CONAB.GOV.BR;6200;-15.79782;-47.95354;0;60
46.0287.0009-9;COMPANHIA NACIONAL DE ABASTECIMENTO;SIA SUL TRECHO 05 LOTES 300/400 S/N SETOR-INDUSTRIA - 70.310-500;Brasília;DF;Convencional;UA.BRASILIA@CONAB.GOV.BR;14900;-15.79707;-47.95393;0;60
47.0287.0015-1;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA  DOMINGOS ALCINO DADALTO 223 IBC - 29.315-314;Cachoeiro de Itapemirim;ES;Convencional;;27500;-20.856506;-41.14888;0;13
47.0287.0007-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 259 KM 50 S/N BEIJAMIM CARLOS DOS SANTOS - 29.700-000;Colatina;ES;Convencional;es.ua-colatina@conab.gov.br;2920;-19.517929;-40.610616;0;0
47.0287.0011-9;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 259 KM 50 S/N BEIJAMIM CARLOS DOS SANTOS - 29.700-000;Colatina;ES;Convencional;es.ua-colatina@conab.gov.br;40820;-19.51792;-40.61061;0;15
47.0287.0017-8;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 259 KM 50 S/N BEIJAMIM CARLOS DOS SANTOS - 29.700-000;Colatina;ES;Convencional;es.ua-colatina@conab.gov.br;30860;-19.517929;-40.610616;0;0
48.C192.0003-0;AGROBOM ARMAZENS GERAIS LTDA;RODOVIA BR 452, KM 132 A DIREITA S/N ZONA RURAL - 75.570-000;Bom Jesus de Goiás;GO;Bateria de Silos;COMERCIAL@AGROBOM.COM;14510;-18.205322;-49.76266;0;100
48.0287.0279-9;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. PROF VENERANDO F. BORGES N. 150 SETOR JAO - 74.673-010;Goiânia;GO;Convencional;GO.UA-GOIANIA@CONAB.GOV.BR;6700;-16.64659;-49.24028;0;10
48.0287.0056-7;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA SAO BENEDITO S/N. - SETOR INDL S/N CENTRO - 75.620-000;Pontalina;GO;Bateria de Silos;;14000;-17.519292;-49.456498;0;30
48.0287.0064-8;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 452 KM 01 S/Nº S/N NÃO INFORMADO - 75.901-040;Rio Verde;GO;Bateria de Silos;go.ua-rioverde@conab.gov.br;41060;-17.787996;-50.901354;0;16
48.0287.0068-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 452 KM 01 S/Nº S/N NÃO INFORMADO - 75.901-040;Rio Verde;GO;Convencional;go.ua-rioverde@conab.gov.br;7750;-17.789011;-50.89913;0;50
48.0287.0245-4;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA RIO DA PRATA, N. 1804 S/N VILA EDUARDA - 76.100-000;São Luís de Montes Belos;GO;Bateria de Silos;;14000;-16.507781;-50.36851;0;15
49.0287.0212-6;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO S/N ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO, S/N - 49028702126 - 65.903-270;Imperatriz;MA;Graneleiro;;8500;-5.58527;-47.4378;0;120
49.0287.0213-4;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO S/N ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO, S/N - 49028702126 - 65.903-270;Imperatriz;MA;Graneleiro;;8500;-5.58527;-47.4378;0;120
49.0287.0214-2;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO S/N ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO, S/N - 49028702126 - 65.903-270;Imperatriz;MA;Graneleiro;;8500;-5.58527;-47.4378;0;120
49.0287.0215-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO S/N ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO, S/N - 49028702126 - 65.903-270;Imperatriz;MA;Graneleiro;;8500;-5.58527;-47.4378;0;120
49.0287.0221-5;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO S/N ROD BR 010 KM 1340-SAIDA P/ PORTO FRANCO, S/N - 49028702126 - 65.903-270;Imperatriz;MA;Convencional;;7000;-5.58527;-47.4378;0;120
49.0287.0224-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 135 KM 01 - PATIO DA RFFSA S/N NÃO INFORMADO - 65.051-210;São Luís;MA;Convencional;;4500;-2.587674;-44.245507;0;30
54.0287.0021-9;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. NEWTON FERREIRA DE PAIVA,  Nº 38 38 N SRA. APARECIDA - 38.970-000;Campos Altos;MG;Convencional;mg.ua.camposaltos@conab.gov.br;10000;-19.695857;-46.174678;0;10
54.0287.0012-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA FRANCISCO PERES DE SOUZA Nº 381 381 VILA EXPOSIÇÃO - 39.400-287;Montes Claros;MG;Convencional;;2200;-16.706488;-43.849844;0;15
54.0287.0024-3;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA FRANCISCO PERES DE SOUZA Nº 381 381 VILA EXPOSIÇÃO - 39.400-287;Montes Claros;MG;Convencional;;3600;-16.706488;-43.849844;0;15
54.0287.0025-1;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA FRANCISCO PERES DE SOUZA Nº 381 381 VILA EXPOSIÇÃO - 39.400-287;Montes Claros;MG;Convencional;;4100;-16.706488;-43.849844;0;20
54.0287.0022-7;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 381 FERNAO DIAS KM 665 S/N Não Informado - 37.260-000;Perdões;MG;Convencional;;10000;-21.092061;-45.07269;0;30
54.0287.0018-9;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA DELMIRA ANDRADE FIGUEREDO WESTIN S/N S/N JARDIM BERNADETE - 37.950-000;São Sebastião do Paraíso;MG;Convencional;;10300;-20.908504;-46.997702;0;15
54.0287.0006-5;COMPANHIA NACIONAL DE ABASTECIMENTO;R ARNALDO AFONSO MELO 315 DISTRITO INDUSTRIAL II - 38.064-720;Uberaba;MG;Silo;MG.UA-UBERABA@CONAB.GOV.BR;25800;-19.703423;-47.981866;0;180
54.0287.0001-4;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GERALDO MOREIRA E SILVA, 2630 DISTRITO INDUSTRIAL - 38.402-352;Uberlândia;MG;Convencional;;6000;-18.844092;-48.293121;0;30
54.0287.0002-2;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GERALDO MOREIRA E SILVA, 2630 DISTRITO INDUSTRIAL - 38.402-352;Uberlândia;MG;Graneleiro;;18000;-18.844092;-48.293121;0;90
54.0287.0003-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GERALDO MOREIRA E SILVA, 2630 DISTRITO INDUSTRIAL - 38.402-352;Uberlândia;MG;Convencional;;12000;-18.844092;-48.293121;0;30
54.0287.0004-9;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GERALDO MOREIRA E SILVA, 2630 DISTRITO INDUSTRIAL - 38.402-352;Uberlândia;MG;Convencional;;6000;-18.844092;-48.293121;0;30
54.0287.0005-7;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GERALDO MOREIRA E SILVA, 2630 DISTRITO INDUSTRIAL - 38.402-352;Uberlândia;MG;Silo;;97800;-18.844092;-48.293121;0;720
54.0287.0038-3;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA GERALDO MOREIRA E SILVA, 2630 DISTRITO INDUSTRIAL - 38.402-352;Uberlândia;MG;Graneleiro;;100000;-18.844092;-48.293121;0;400
54.0287.0019-7;COMPANHIA NACIONAL DE ABASTECIMENTO;ALAMEDA DO CAFE Nº 1000 - JARDIM ANDERE 1000 JARDIM ANDERE - 37.026-400;Varginha;MG;Convencional;conab.varginha@oi.com.br;24600;-21.576321;-45.431222;0;30
55.0287.0010-1;COMPANHIA NACIONAL DE ABASTECIMENTO;AV PRINCIPAL 2 20 NUCLEO INDUSTRIAL - 79.108-550;Campo Grande;MS;Convencional;;3500;-20.494501;-54.74;0;60
55.0287.0011-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV PRINCIPAL 2 20 NUCLEO INDUSTRIAL - 79.108-550;Campo Grande;MS;Bateria de Silos;;16000;-20.494501;-54.74;0;350
55.0287.0040-3;COMPANHIA NACIONAL DE ABASTECIMENTO;AV PRINCIPAL 2 20 NUCLEO INDUSTRIAL - 79.108-550;Campo Grande;MS;Silo;;25800;-20.494501;-54.74;0;350
55.0287.0196-5;COMPANHIA NACIONAL DE ABASTECIMENTO;AV PRINCIPAL 2 20 NUCLEO INDUSTRIAL - 79.108-550;Campo Grande;MS;Convencional;;2600;-20.494501;-54.74;0;60
56.0287.0045-2;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Bateria de Silos;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;10000;-16.501768;-54.631977;0;80
56.0287.0067-3;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Convencional;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;2400;-16.501768;-54.631977;0;80
56.0287.0068-1;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Convencional;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;2400;-16.501768;-54.631977;0;80
56.0287.0069-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Convencional;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;2400;-16.501768;-54.631977;0;80
56.0287.0080-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Graneleiro;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;13800;-16.501768;-54.631977;0;80
56.0287.0082-7;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Graneleiro;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;13800;-16.501768;-54.631977;0;80
56.0287.0083-5;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Graneleiro;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;13800;-16.501768;-54.631977;0;80
56.0287.0094-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Graneleiro;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;13800;-16.501768;-54.631977;0;80
56.0287.0096-7;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Graneleiro;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;13800;-16.501768;-54.631977;0;80
56.0287.0204-8;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Convencional;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;3600;-16.501768;-54.631977;0;120
56.0287.0214-5;COMPANHIA NACIONAL DE ABASTECIMENTO;RODOVIA BR 364, KM 199, 10, LE S/N ZONA RURAL - 78.710-129;Rondonópolis;MT;Convencional;MT.UA-RONDONOPOLIS@CONAB.GOV.BR;2300;-16.501768;-54.631977;0;80
56.0287.0024-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA IDEMAR RIEDI 10790 Industrial - 78.890-000;Sorriso;MT;Graneleiro;CONAB@VSP.GOV.BR;4900;-12.553104;-55.712987;0;60
56.0287.0062-2;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA IDEMAR RIEDI 10790 Industrial - 78.890-000;Sorriso;MT;Graneleiro;CONAB@VSP.GOV.BR;4900;-12.553104;-55.712987;0;60
56.0287.0099-1;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA IDEMAR RIEDI 10790 Industrial - 78.890-000;Sorriso;MT;Graneleiro;CONAB@VSP.GOV.BR;13800;-12.553104;-55.712987;0;60
56.0287.0100-9;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA IDEMAR RIEDI 10790 Industrial - 78.890-000;Sorriso;MT;Graneleiro;CONAB@VSP.GOV.BR;13800;-12.553104;-55.712987;0;60
56.0287.0203-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AVENIDA IDEMAR RIEDI 10790 Industrial - 78.890-000;Sorriso;MT;Graneleiro;CONAB@VSP.GOV.BR;8500;-12.553104;-55.712987;0;60
57.0287.0044-2;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DO MOCAJATUBA - KM 05 - UA ANANINDEUA S/Nº DISTRITO INDUSTRIAL - 67.030-180;Ananindeua;PA;Convencional;rogerio.neves@conab.gov.br;2800;-1.332048;-48.35642;0;7
57.0287.0063-9;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DO MOCAJATUBA - KM 05 - UA ANANINDEUA S/Nº DISTRITO INDUSTRIAL - 67.030-180;Ananindeua;PA;Convencional;rogerio.neves@conab.gov.br;8900;-1.332048;-48.35646;0;60
57.0287.0070-1;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DO MOCAJATUBA - KM 05 - UA ANANINDEUA S/Nº DISTRITO INDUSTRIAL - 67.030-180;Ananindeua;PA;Convencional;rogerio.neves@conab.gov.br;8900;-1.3320400000000001;-48.35642;0;60
58.0287.0005-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. ASSIS CHATEAUBRIAND 4885 DISTRITO INDUSTRIAL - 58.105-421;Campina Grande;PB;Convencional;PB.UA-CAMPINAGRANDE@CONAB.GOV.BR;7000;-7.272515;-35.887636;0;19
58.0287.0050-5;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA PROJETADA Y2 225 Distrito Industrial - 58.082-025;João Pessoa;PB;Convencional;PB.UA-JOAOPESSOA@CONAB.GOV.BR;8900;-7.184094;-34.918548;0;19
58.0287.0021-1;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA MANUEL JOAQUIM DA SILVA S/N S/N centro - 58.500-000;Monteiro;PB;Convencional;PB.GEOSE@CONAB.GOV.BR;3500;-7.896426;-37.129711;0;13
58.0287.0049-1;COMPANHIA NACIONAL DE ABASTECIMENTO;FAZENDA TRAPIA, 3312 - BR 230 - KM 342 S/N UA PATOS - 58.700-000;Patos;PB;Convencional;pb.ua-patos@conab.gov.br;2800;-6.992245;-37.320485;0;14
59.0287.0044-9;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA JOSE BONIFACIO, N. 1056 S/N São Cristovão - 56.512-000;Arcoverde;PE;Convencional;;1800;-8.414672;-37.070585;0;7
59.0287.0018-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DO BARBALHO, 960 - IPUTINGA S/N CENTRO - 50.690-000;Recife;PE;Convencional;;3600;-8.033068;-34.939058;0;1
59.0287.0041-4;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DO BARBALHO, 960 - IPUTINGA S/N CENTRO - 50.690-000;Recife;PE;Convencional;;4900;-8.033068;-34.939058;0;1
59.0287.0042-2;COMPANHIA NACIONAL DE ABASTECIMENTO;ESTRADA DO BARBALHO, 960 - IPUTINGA S/N CENTRO - 50.690-000;Recife;PE;Convencional;;18100;-8.033068;-34.939058;0;13
65.0287.0054-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 343 KM 601 3600 MELADÃO - 64.808-755;Floriano;PI;Convencional;PI.UA-FLORIANO@CONAB.GOV.BR;4300;-6.78678;-43.04399;0;10
65.0287.0121-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 343 KM 13 S/N NOSSA SRA FATIMA - 64.202-220;Parnaíba;PI;Convencional;;4100;-2.904117;-41.757595;0;15
65.0287.0034-6;COMPANHIA NACIONAL DE ABASTECIMENTO;AV SENADOR HELVIDIO NUNES 2810 JUNCO - 64.600-000;Picos;PI;Convencional;;3200;-7.079008;-41.437125;0;10
65.0287.0042-7;COMPANHIA NACIONAL DE ABASTECIMENTO;PRIMEIRO DISTRITO INDUSTRIAL S/N PARQUE PIAUÍ - 64.076-160;Teresina;PI;Convencional;;4100;-5.14376;-42.79656;0;15
65.0287.0110-5;COMPANHIA NACIONAL DE ABASTECIMENTO;PRIMEIRO DISTRITO INDUSTRIAL S/N PARQUE PIAUÍ - 64.076-160;Teresina;PI;Convencional;;4200;-5.08998;-42.8003;0;29
66.0287.0061-1;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA BELO HORIZONTE  2726 CENTRO - 86.181-020;Cambé;PR;Silo;;25800;-23.27562;-51.295575;0;90
66.0287.0030-1;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Graneleiro;pr.ua-pontagrossa@conab.gov.br;50000;-25.22017;-50.06403;0;520
66.0287.0052-2;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Graneleiro;pr.ua-pontagrossa@conab.gov.br;75000;-25.22139;-50.06391;0;520
66.0287.0056-5;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Graneleiro;pr.ua-pontagrossa@conab.gov.br;50000;-25.22011;-50.0624;0;520
66.0287.0059-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Graneleiro;pr.ua-pontagrossa@conab.gov.br;75000;-25.22082;-50.06203;0;520
66.0287.0064-6;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Graneleiro;pr.ua-pontagrossa@conab.gov.br;75000;-25.22091;-50.0639;0;520
66.0287.0067-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Graneleiro;pr.ua-pontagrossa@conab.gov.br;75000;-25.22128;-50.062;0;520
66.0287.0068-9;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Bateria de Silos;pr.ua-pontagrossa@conab.gov.br;20000;-25.21919;-50.06272;0;520
66.0287.0077-8;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA TAPAJOS N. 761 761 JARDIM MONTE CARLO - 86.604-068;Rolândia;PR;Convencional;;55300;-23.32535;-51.3888;0;50
68.0287.0001-4;COMPANHIA NACIONAL DE ABASTECIMENTO;AV SENADOR JOAO CAMARA S/N S/N CENTRO - 59.650-000;Açu;RN;Convencional;;3200;-5.575583;-36.912698;0;12
68.0287.0057-0;COMPANHIA NACIONAL DE ABASTECIMENTO;R DR. RUY  MARIZ 455 S/N BOA PASSAGEM - 59.300-970;Caicó;RN;Convencional;;3000;-6.447385;-37.093154;0;12
